,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,yr_renovated,price
0,0.15625,0.33333333333333337,0.15413819286256644,0.4,0.0,0.0,0.5,0.4,0.0,0.026502230385725536
1,0.15625,0.33333333333333337,0.15413819286256644,0.4,0.0,0.0,0.5,0.4,0.0,0.02912621359223301
2,0.09375,0.16666666666666669,0.12832194381169323,0.0,0.0,0.0,0.75,0.5,0.0,0.07471792180530044
3,0.0625,0.06666666666666667,0.08276385725132879,0.0,0.0,0.0,0.5,0.4,0.0,0.0422461296247704
4,0.0625,0.06666666666666667,0.08048595292331057,0.20000000000000007,0.0,0.0,0.75,0.30000000000000004,0.0,0.020598268171083706
5,0.09375,0.2,0.09719058466211086,0.0,0.0,0.0,0.5,0.4,1.0,0.04257412752558384
6,0.09375,0.3,0.1404707668944571,0.0,0.0,0.0,1.0,0.4,0.0,0.07898189451587509
7,0.125,0.13333333333333336,0.12300683371298404,0.0,0.0,0.0,0.5,0.4,0.0,0.013119916032537393
8,0.09375,0.26666666666666666,0.16476841305998483,0.4,0.0,0.0,0.5,0.6,0.0,0.053660456573077935
9,0.0625,0.06666666666666667,0.07365223993925588,0.20000000000000007,0.0,0.0,0.75,0.19999999999999996,0.0,0.026633429546050906
10,0.09375,0.2,0.12224753227031132,0.20000000000000007,0.0,0.0,0.25,0.30000000000000004,0.0,0.021123064812385205
11,0.03125,0.06666666666666667,0.035687167805618834,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.009446339543426921
12,0.03125,0.06666666666666667,0.035687167805618834,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.012726318551561271
13,0.03125,0.06666666666666667,0.03189066059225513,0.0,0.0,0.0,0.75,0.30000000000000004,0.0,0.029099973760167937
14,0.0625,0.2,0.07896735003796507,0.4,0.0,0.0,0.75,0.4,0.0,0.057990028863815275
15,0.0625,0.23333333333333334,0.08807896735003798,0.4,0.0,0.0,0.5,0.6,0.0,0.05077407504591971
16,0.125,0.06666666666666667,0.2012148823082764,0.4,0.0,0.0,0.5,0.4,0.0,0.0724219364996064
17,0.03125,0.2,0.05770690964312832,0.4,0.0,0.0,0.5,0.6,0.0,0.043689320388349516
18,0.03125,0.06666666666666667,0.07972665148063782,0.4,0.0,0.0,0.75,0.4,1.0,0.054841249016006295
19,0.0625,0.26666666666666666,0.08807896735003798,0.4,0.0,0.0,0.5,0.5,0.0,0.06454998688008397
20,0.0625,0.26666666666666666,0.08807896735003798,0.4,0.0,0.0,0.5,0.5,0.0,0.061401207032274994
21,0.0625,0.26666666666666666,0.11693242217160213,0.4,0.0,0.0,0.5,0.5,0.0,0.07071634741537654
22,0.0625,0.26666666666666666,0.22627182991647682,0.4,0.0,0.0,0.5,0.5,0.0,0.07307793230123327
23,0.0625,0.26666666666666666,0.18982536066818528,0.4,0.0,0.0,0.5,0.7,0.0,0.10427053266859092
24,0.0625,0.26666666666666666,0.20956719817767655,0.4,0.0,0.0,0.5,0.7,0.0,0.10036735764891104
25,0.125,0.3,0.20045558086560364,0.4,0.0,0.0,0.5,0.7,0.0,0.09967200209918656
26,0.0625,0.3666666666666667,0.20425208807896736,0.4,0.0,0.0,0.5,0.7,0.0,0.08357386512726318
27,0.0625,0.4,0.214123006833713,0.4,0.0,0.0,0.5,0.7,0.0,0.0940697979532931
28,0.09375,0.3,0.20956719817767655,0.4,0.0,0.0,0.5,0.6,0.0,0.09931776436630806
29,0.09375,0.26666666666666666,0.1738800303720577,0.4,0.0,0.0,0.5,0.6,0.0,0.08882183154027815
30,0.09375,0.26666666666666666,0.14965831435079727,0.4,0.0,0.0,0.5,0.6,0.0,0.07373392810286014
31,0.09375,0.26666666666666666,0.2012148823082764,0.4,0.0,0.0,0.5,0.6,0.0,0.08816583573865128
32,0.0625,0.26666666666666666,0.17084282460136674,0.4,0.0,0.0,0.5,0.6,0.0,0.08659144581474679
33,0.09375,0.3,0.20045558086560364,0.4,0.0,0.0,0.5,0.6,0.0,0.0960377853581737
34,0.0625,0.26666666666666666,0.11237661351556569,0.4,0.0,0.0,0.5,0.5,0.0,0.02309105221726581
35,0.0625,0.06666666666666667,0.0554290053151101,0.0,0.0,0.0,0.75,0.4,0.0,0.006822356336919444
36,0.09375,0.3,0.16173120728929385,0.20000000000000007,0.0,0.0,0.75,0.4,0.0,0.031684597218577804
37,0.0625,0.26666666666666666,0.08731966590736523,0.4,0.0,0.0,0.5,0.4,0.0,0.016924691681973233
38,0.03125,0.16666666666666669,0.10402429764616553,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.016662293361322487
39,0.0625,0.13333333333333336,0.09643128321943811,0.4,0.0,0.0,0.75,0.4,0.0,0.028470217790606142
40,0.0625,0.13333333333333336,0.05315110098709188,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.018623720808186826
41,0.0625,0.23333333333333334,0.09643128321943811,0.4,0.0,0.0,0.75,0.4,1.0,0.022566255575964318
42,0.03125,0.06666666666666667,0.06302201974183752,0.0,0.0,0.0,0.75,0.4,0.0,0.014563106796116504
43,0.03125,0.06666666666666667,0.09339407744874714,0.0,0.0,0.0,0.75,0.4,0.0,0.018433482025715035
44,0.09375,0.06666666666666667,0.0721336370539104,0.0,0.0,0.0,1.0,0.30000000000000004,0.0,0.022566255575964318
